"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2002,"E09000002","Barking and Dagenham",166357,65985.38724911,32199.5630680831,NA,116916.073209311,52236.0718917788,22910.2546219019,290247.350040185,1.74472580077896
2003,"E09000002","Barking and Dagenham",166210,124899.312490997,54943.8114870185,NA,130869.076676813,52059.646172718,24328.5540899795,387100.400917526,2.32898382117518
2004,"E09000002","Barking and Dagenham",165610,103363.422816505,101123.820343266,NA,148121.708407274,50552.8776546437,25023.6375113855,428185.466733074,2.58550490147379
2005,"E09000002","Barking and Dagenham",166275,99210.783059965,109159.955368187,NA,150359.823270194,59810.9769915158,26033.3839805219,444574.922670384,2.67373280812139
2006,"E09000002","Barking and Dagenham",167157,268040.302924987,120719.617229273,NA,17233.3139745914,89274.3497125822,22028.6451531853,517296.228994619,3.09467284645345
2007,"E09000002","Barking and Dagenham",169031,259914.25390472,130429.131635089,NA,15898.2483516872,94736.7690982993,22557.5830411051,523535.9860309,3.09727793144985
2008,"E09000002","Barking and Dagenham",172452,249027.632746662,141742.390812734,10920,14718.2447135946,105726.920988188,23251.0703274036,545386.259588582,3.16253948686349
2009,"E09000002","Barking and Dagenham",177580,273895.60358037,155783.361879759,15900.3335066604,23436.9644000436,101542.258975594,24227.7066938081,594786.229036235,3.349398744432
2010,"E09000002","Barking and Dagenham",182838,296298.504633983,164785.535326264,19695.9793723125,16405.0550997055,112974.039370861,25283.0761356299,635442.189938756,3.47543831117577
2011,"E09000002","Barking and Dagenham",187029,346577.555186126,176601.275105562,977.115016965882,31227.2889926109,101025.946067644,25708.0537745141,682117.234143423,3.6471201479098
2012,"E09000002","Barking and Dagenham",190663,327837.107511589,168594.782924028,904.789531694764,2394.94915206504,123527.523543078,24131.2752469571,647390.427909411,3.3954696396753
2013,"E09000002","Barking and Dagenham",194576,327445.822986478,164410.336418429,70,80655.9094049534,55498.8882147081,45303.1590639359,673384.116088505,3.4607768485759
2014,"E09000002","Barking and Dagenham",198650,327796.895952803,160487.493897345,46,66815.9508527416,73379.077191624,46610.6463652356,675136.064259749,3.39862101313742
2015,"E09000002","Barking and Dagenham",203101,290768.94949196,162679.392315041,40,49471.3718842774,76115.7822472317,44849.1498890611,623924.645827572,3.07199199328202
2016,"E09000002","Barking and Dagenham",208182,289332.138074672,147527.779599477,0,40679.9827554298,75257.1327408512,45213.1912914744,598010.224461905,2.87253568734043
2017,"E09000002","Barking and Dagenham",210711,293503.239613513,139254.857796304,0,28760,109131.129879419,44937.4046596709,615586.631948907,2.92147363900749
