"","year","DH_GEOGRAPHY_NAME","inhouse_activity","outsourced_activity","total_activity","percent_inhouse_activity"
"1",2001,"BARNSLEY",12428,31616,44044,28.2172373081464
"2",2001,"BIRMINGHAM",48854,106308,155162,31.485801936041
"3",2001,"BOLTON",14268,30094,44362,32.1626617375231
"4",2001,"BRADFORD",NA,NA,NA,NA
"5",2001,"BURY",12636,19604,32240,39.1935483870968
"6",2001,"CALDERDALE",11299,22033,33332,33.8983559342374
"7",2001,"COVENTRY",NA,NA,NA,NA
"8",2001,"DONCASTER",12679,39471,52150,24.3125599232982
"9",2001,"DUDLEY",11128,28184,39312,28.3068783068783
"10",2001,"GATESHEAD",14339.3,30399.3,44738.6,32.0512935138784
"11",2001,"KIRKLEES",24086,39298,63384,38.0001262148176
"12",2001,"KNOWSLEY",NA,18669,NA,NA
"13",2001,"LEEDS",43058,66259,109317,39.3882012861677
"14",2001,"LIVERPOOL",14448,75063,89511,16.1410329456715
"15",2001,"MANCHESTER",1768,75660,77428,2.2834116856951
"16",2001,"NEWCASTLE UPON TYNE",5070,46810,51880,9.77255204317656
"17",2001,"NORTH TYNESIDE",NA,NA,NA,NA
"18",2001,"OLDHAM",9516,35230,44746,21.266705403835
"19",2001,"ROCHDALE",10746,32914,43660,24.6129180027485
"20",2001,"ROTHERHAM",14248,32812,47060,30.2762430939227
"21",2001,"SALFORD",12088,29765,41853,28.8820395192698
"22",2001,"SANDWELL",16276,29250,45526,35.7509994288978
"23",2001,"SEFTON",8610,38864,47474,18.1362429961663
"24",2001,"SHEFFIELD",27196,73450,100646,27.0214414879876
"25",2001,"SOLIHULL",6213,11405,17618,35.265069814962
"26",2001,"SOUTH TYNESIDE",10969,24362,35331,31.0463898559339
"27",2001,"ST HELENS",10180,14276,24456,41.6257769054629
"28",2001,"STOCKPORT",0,50493,50493,0
"29",2001,"SUNDERLAND",9645,51998,61643,15.6465454309492
"30",2001,"TAMESIDE",NA,34118,NA,NA
"31",2001,"TRAFFORD",17550,17498,35048,50.0741839762611
"32",2001,"WAKEFIELD",15392,50830,66222,23.2430310168826
"33",2001,"WALSALL",16238,22212,38450,42.2314694408322
"34",2001,"WIGAN",1526,43357,44883,3.39995098366865
"35",2001,"WIRRAL",5537,34309,39846,13.895999598454
"36",2001,"WOLVERHAMPTON",9506,26825,36331,26.1649830723074
"37",2001,"BEDFORDSHIRE",0,48152,48152,0
"38",2001,"BUCKINGHAMSHIRE",9848,34887,44735,22.0140829328266
"39",2001,"CAMBRIDGESHIRE",30784,42536,73320,41.9858156028369
"40",2001,"CHESHIRE",13574,69247,82821,16.3895630335301
"41",2001,"CORNWALL",0,74423,74423,0
"42",2001,"CUMBRIA",32854,48185,81039,40.5409740988907
"43",2001,"DERBYSHIRE",49716,73195,122911,40.4487800115531
"44",2001,"DEVON",32968,126815,159783,20.63298348385
"45",2001,"DORSET",14734,37167,51901,28.3886630315408
