"","DH_GEOGRAPHY_NAME","year","outsourced_home_care","outsourced_res_care","outsourced_old_care","spend_home_care","spend_res_care","spend_old_care"
"1","BARNSLEY",2001,24.9999408264541,34.3471243774261,34.6508999737341,6780.01604790362,10009.5715793301,23661.7230900639
"2","BIRMINGHAM",2001,18.3398710192141,52.7642017564872,49.0715356860484,32588.9825835712,52565.235708407,139509.383403085
"3","BOLTON",2001,10.3819889031157,52.5139664804469,41.6465816236553,9372,14678,34022
"4","BRADFORD",2001,8.67760340517365,61.5902234692525,54.7408343868521,10198.6684419382,23297.5287176274,66444
"5","BURY",2001,12.2634367903104,44.7667436489607,41.4671934309397,3963,10825,25818
"6","CALDERDALE",2001,28.7017957748207,55.0905944545614,53.8357431373267,4542.572911566,10973.5610222653,28482.7497614096
"7","COVENTRY",2001,32.035302314779,43.9826083773456,39.2414272530073,13511.7562680514,11006.8364103074,36127.7393203202
"8","DONCASTER",2001,27.5664613662079,56.1000103970148,44.4782608695652,8361.61003539454,17572.1892567146,46000
"9","DUDLEY",2001,32.5867052023121,57.2573356630716,46.5158972994546,9688,16597,37585
"10","GATESHEAD",2001,23.2050333086603,47.0367647058824,47.9188436084988,8106,13600,34452
"11","KIRKLEES",2001,11.2863141657383,44.499447301389,41.6235956177286,11669,20807,50111
"12","KNOWSLEY",2001,39.3582433254597,100,67.2226777288817,4999.26945470187,5516.67524407977,18496.3074195325
"13","LEEDS",2001,9.99065420560748,51.6889756204821,45.6180304696089,21400,36383,101872
"14","LIVERPOOL",2001,31.3877019158518,62.0397652098576,58.7983661487468,16518.8139448746,32290.848803044,82688.148826628
"15","MANCHESTER",2001,40.0097370983447,92.3009484338886,62.2344296211743,10270,25094,70085
"16","NEWCASTLE UPON TYNE",2001,45.2489656108164,78.7991660595279,65.1432048266585,12715.3423381798,15365.3507200157,44674.5995194186
"17","NORTH TYNESIDE",2001,9.10780669144982,47.9575325970895,35.0054062299483,6563.59745992776,10357.9795330611,26249.1733906187
"18","OLDHAM",2001,24.7733160621762,71.0917030567686,56.6814943401685,6176,12595,27651
"19","ROCHDALE",2001,24.9412992434125,65.9345983044005,47.1173495025292,7666,12385,29851
"20","ROTHERHAM",2001,12.2545522171864,54.7292398956389,47.2052128712672,9175.69417787931,14574.064102157,37487.1542300955
"21","SALFORD",2001,46.6132754174019,71.2367011403345,66.1217517386641,8110.09173509279,12342.8366515268,35705.6585696594
"22","SANDWELL",2001,38.174926035503,48.6106634001676,52.6041437557735,10816,15511,45466
"23","SEFTON",2001,41.8181818181818,58.1198661393368,58.9782555255101,6930,16435,44747
"24","SHEFFIELD",2001,19.2305112554827,59.7539804877831,59.8753458670528,20466.25059538,25583.7362059106,95295.3873234781
"25","SOLIHULL",2001,40.2631578947368,43.36500655308,44.9467799161381,5320,6104,18602
"26","SOUTH TYNESIDE",2001,35.3506440400736,56.1693240294993,52.2536646263724,5040.02067097157,11214.7566243598,28293
"27","ST HELENS",2001,20.5398548383926,41.5280158866989,48.0036350938087,5696.272,8369.769,29999.776
"28","STOCKPORT",2001,40.3074993997554,100,72.7859935407105,8375.33748248405,18171.3723196881,41181
"29","SUNDERLAND",2001,26.1064197782073,77.5714895433205,60.2260564284797,9829,18744,46714
"30","TAMESIDE",2001,44.0526422032934,100,71.3632456592745,5908.31856560858,8607.36285616203,29085
"31","TRAFFORD",2001,12.8442028985507,45.7859848484849,50.1051682692308,5520,10560,26624
"32","WAKEFIELD",2001,9.67267377712394,64.3648550391586,50.661685941176,9228.86745678501,22809.1965635027,44645
"33","WALSALL",2001,54.9955660656222,45.8425823328706,56.3656631023173,7230.5979901005,13294.6381280936,36262
"34","WIGAN",2001,6.09299839657937,91.9731685257763,68.2659625270373,5613,13268,35599
"35","WIRRAL",2001,38.9674126423243,71.8713105076742,64.5185612276578,10188,13552,45094
"36","WOLVERHAMPTON",2001,43.486316907826,49.904393495415,50.0181478067177,8717.68470996392,15862.3308401239,39577.6350545737
"37","BEDFORDSHIRE",2001,41.2661326212728,90.2770919067215,68.4397350993378,8988,18225,37750
"38","BUCKINGHAMSHIRE",2001,40.7769195820082,73.0795127624411,61.1732467268852,13206,16337,49265
"39","CAMBRIDGESHIRE",2001,39.1018647278701,42.0522354685896,48.4139954685585,15040.2034300126,21088.0584615385,53846
"40","CHESHIRE",2001,19.6702251347638,78.2584245360557,59.673002295743,18922,23117,85811
"41","CORNWALL",2001,55.0625978090767,100,78.284023668639,12780,19488,59150
"42","CUMBRIA",2001,24.0213024385686,47.788980628771,47.0700358485617,10703,25192,57185
"43","DERBYSHIRE",2001,20.5691190125075,52.8863373011693,55.3473908600437,18309,37972,91007
"44","DEVON",2001,58.9378455352655,69.8711434494533,67.6287150766881,11938,49202,94278
"45","DORSET",2001,32.8708133971292,70.5261874275959,55.877900483931,8360,16401,40295
"46","DURHAM",2001,35.8271662762798,47.6133088227805,54.4407130626385,17375.0833431708,34836.8983591075,75337
"47","EAST SUSSEX",2001,38.2646182282336,68.2669403836387,57.9456774259701,10514.9672974075,25629.2971901265,64381.9567400005
"48","ESSEX",2001,40.4725646577575,52.6731312443594,47.8090516285875,28780.7830989708,72477.7294526821,134936.958187394
"49","GLOUCESTERSHIRE",2001,36.0785742093812,96.6115258362848,73.0029669180562,11657.8886282772,19096.0652368364,52362.2554175197
"50","HAMPSHIRE",2001,56.4374690830598,60.5156349712827,65.9182044693607,22237,39175,102744
"51","HERTFORDSHIRE",2001,99.6167755168131,99.9795353052883,86.0546162422637,21069.887918857,63524.0358242827,98380
"52","ISLES OF SCILLY",2001,NA,NA,NA,0,0,0
"53","KENT",2001,83.2359744383895,80.7977979055498,85.114302043149,25507,65029,139980
"54","LANCASHIRE",2001,56.2538133007932,72.1305721305721,67.2462273215396,26224,68376,141544
"55","LEICESTERSHIRE",2001,54.495106592823,66.6719330120863,62.3974840144565,13181,25318,57552
"56","LINCOLNSHIRE",2001,48.1086999800916,77.0295503719731,74.521491297869,10046,33739,69121
"57","NORFOLK",2001,24.8488620737676,64.82984413738,59.6401878178045,20919.3347132472,54772.0219608239,106415
"58","NORTH YORKSHIRE",2001,32.6894082171127,45.0588738196091,54.7640485925576,10612,25733,67747
"59","NORTHAMPTONSHIRE",2001,48.3114446529081,47.2043495045683,52.6877916477148,8528,31084,59361
"60","NORTHUMBERLAND",2001,51.6996496543888,68.6815735758026,61.9081724969843,10561,21556,53056
"61","NOTTINGHAMSHIRE",2001,21.3582677165354,65.1958445963852,56.5817981853176,14224,37734,90925
"62","OXFORDSHIRE",2001,42.278052753587,26.9706018100193,46.1227051631856,16063.1694451781,22638.8572355516,67867
"63","SHROPSHIRE",2001,60.7099567099567,91.9112433452156,78.3701143900063,6126.87764543754,13692.3028841421,32609
"64","SOMERSET",2001,100,99.9999999999998,89.533276436541,9775.1866085238,18554.1967047603,50913
"65","STAFFORDSHIRE",2001,35.9589234328274,53.5528310592578,51.8649003089644,17723,30342,89978
"66","SUFFOLK",2001,47.7699326789239,50.4838020998195,54.9341872160382,18548.1009299583,33520.6166550182,82526.2246518472
"67","SURREY",2001,43.8616071428571,62.4021526418787,59.5464334080767,13440,36792,90086
"68","WARWICKSHIRE",2001,32.528167301613,66.0730781073591,58.7299251660641,12337,19486,47572
"69","WEST SUSSEX",2001,30.6155576336254,61.6641456845948,55.0069385837132,20649.4389109835,35254.2158148004,84418.1571751049
"70","WILTSHIRE",2001,47.2522632675489,80.75789237567,63.8880639634495,8869.41642619312,15014.0124306326,43775
"71","WORCESTERSHIRE",2001,23.205592310573,85.9012307163255,70.9063205618905,8749.8666286994,19211.0470955038,49028.967325624
"72","BATH AND NORTH EAST SOMERSET",2001,23.122599532152,41.2035169340325,51.7825974764862,3821.61331766121,7400.86753410054,20881.0312166853
"73","BLACKBURN WITH DARWEN",2001,44.3850267379679,64.6553552492047,58.2526445402138,3179,9430,17867
"74","BLACKPOOL",2001,49.4229368242799,68.2572480395235,65.8662403980335,3985.552,11495.0012705882,22889
"75","BOURNEMOUTH",2001,33.3544705136335,94.8333333333333,60.8420119654332,3154,13200,22565
"76","BRACKNELL FOREST",2001,34.8119983100972,35.0060096153846,45.0789666352892,2367,3328,9561
"77","BRIGHTON AND HOVE",2001,41.1853868823192,68.5055262435381,61.6978050488274,7810.67783833694,13668.8306133061,36239.4631696788
"78","BRISTOL",2001,8.3502336654616,39.3935178745305,44.4904763476711,11341,21567,60586
"79","DARLINGTON",2001,53.2638888888889,51.7741935483871,60.1647571252722,1440,5580,10561
"80","DERBY",2001,16.3156240176045,58.8050877821569,56.6524304763147,6362,11164,30673
"81","EAST RIDING OF YORKSHIRE",2001,54.7477880142297,86.0760487019446,67.7143161301298,10963,18166.493741071,39109.313566942
"82","HALTON",2001,40.6437920056597,73.1911532385466,66.5428249187289,2827,6330,15073
"83","HARTLEPOOL",2001,31.7673468050402,92.6273154720072,74.7256023001878,2421.43755414381,7920.8049379151,14839
"84","HEREFORDSHIRE",2001,24.7738891073535,54.0843491663164,53.7935483870968,2543,7137,15500
"85","ISLE OF WIGHT",2001,24.5311708058794,87.040928650055,66.7724068479356,3946,9993,19860
"86","KINGSTON UPON HULL",2001,34.9499153254282,73.2031666431622,55.2825256884803,6200.799,22591.494,42441.592
"87","LEICESTER",2001,63.4623571304078,63.9695289364786,60.2201355774076,6384.44331494452,16126.2299014442,36213
"88","LUTON",2001,36.9075702337551,31.7832251862533,33.2223807259471,4663,8322,18927
"89","MEDWAY TOWNS",2001,86.3533050948364,68.2939538527089,69.8062920890567,4867.28200919151,7758.92156051104,21840.96681
"90","MIDDLESBROUGH",2001,24.6599131693198,58.6321381142098,57.4008438818565,3455,7530,17775
"91","MILTON KEYNES",2001,43.7421251574969,87.8609221466364,42.7667513925694,4762,6615,18491
"92","NORTH EAST LINCOLNSHIRE",2001,34.5439706182412,79.0933052187665,59.9710773680405,4901,9485,20745
"93","NORTH LINCOLNSHIRE",2001,38.688234143607,73.0728835699843,57.3560075992771,4892.96046176046,9617.7948051948,21581
"94","NORTH SOMERSET",2001,23.8352722857824,69.4177470700484,66.3592616973601,3605.35376610505,7517.35416253717,22133
"95","NOTTINGHAM",2001,17.8385867682716,56.4156328266061,46.2467271664252,5774,17169,39339
"96","PETERBOROUGH",2001,51.4462324947373,32.1649309508885,41.5774704249004,2971.46696829405,7316.89603970736,15824.0078458066
"97","PLYMOUTH",2001,16.3866986630099,52.9238643634037,52.5619935417047,2917,15630,32826
"98","POOLE",2001,57.8449905482042,79.456906729634,63.2924115155431,3703,5082,13929
"99","PORTSMOUTH",2001,76.5712012728719,36.4436193397369,49.9925462134764,5028,12389,26832
"100","READING",2001,46.2999924369434,31.2578837052817,44.0292216923144,3906.69392064675,5015.67776468075,14682.1100944366
"101","REDCAR AND CLEVELAND",2001,0,47.7278163118871,39.8930123704447,2977,8362,14955
"102","RUTLAND",2001,43.7436224706927,47.9475013544834,50.9350298823983,814.099417190646,1634.8802582336,3458
"103","SLOUGH",2001,42.2645413830753,41.4331770835396,59.9688134650675,2973.909,2849.7362788155,10509.3062788155
"104","SOUTH GLOUCESTERSHIRE",2001,13.1785128625601,33.6530948209257,43.4626853034246,4101.01054126889,7539.6469579518,23358.9114378285
"105","SOUTHAMPTON",2001,63.163328515383,57.8330893118594,54.0318556898868,4843,10245,26055
"106","SOUTHEND ON SEA",2001,35.7418643132929,76.3514074566138,61.7808953188173,3626,12043,20529
"107","STOCKTON ON TEES",2001,43.8661710037175,57.0551081060229,65.1903841124546,3910.74582625212,10472.6020193942,22970
"108","STOKE ON TRENT",2001,57.825679475164,35.0284193977506,49.2370497597889,8536,16538,40173
"109","SWINDON",2001,45.9173871277618,41.0877759827679,42.4404602622424,3123,7428,18685
"110","TELFORD AND WREKIN",2001,70.4991394148021,100,85.0085502565077,2905,6351,15789
"111","THURROCK",2001,52.7566974267442,65.6521756811477,51.8109759015008,3444.11247979086,5868.65547108803,12540.2
"112","TORBAY",2001,34.763207521013,80.2582328100554,64.551909583631,3115.36269875376,11302.2672969489,23801
"113","WARRINGTON",2001,56.8193005117512,71.2264561518279,66.3910896755932,4013.52306055732,8464.10839415716,23972.8093598709
"114","WEST BERKSHIRE",2001,47.8127398311589,46.4046822742475,51.4614313969672,3909,4784,13651
"115","WINDSOR AND MAIDENHEAD",2001,47.7188328912467,43.1852654387866,53.8401642245346,3770,4615,14127
