"","DH_GEOGRAPHY_NAME","year","Expenditure_U65 PHYSICAL DISABILITY_External","Expenditure_U65 PHYSICAL DISABILITY_Total","Expenditure_U65 LEARNING DISABILITY_External","Expenditure_U65 LEARNING DISABILITY_Total","Expenditure_U65 MENTAL HEALTH_External","Expenditure_U65 MENTAL HEALTH_Total","percent_sector_U65 PHYSICAL DISABILITY_External","percent_sector_U65 PHYSICAL DISABILITY_Total","percent_sector_U65 LEARNING DISABILITY_External","percent_sector_U65 LEARNING DISABILITY_Total","percent_sector_U65 MENTAL HEALTH_External","percent_sector_U65 MENTAL HEALTH_Total"
"1","BARNSLEY",2001,919,3026.71918674563,2777,5930.98976881891,496,2655.35748574999,30.3629092525138,100,46.8218646169239,100,18.6792174937571,100
"2","BIRMINGHAM",2001,10085.8795244016,21249.3458700334,27439.875668482,47807.9630097886,10296.0471535889,17860.747439018,47.4644235455033,100,57.3960360178151,100,57.6462277894175,100
"3","BOLTON",2001,1991,4226,3368,13262,1567,4470,47.1131093232371,100,25.3958678932288,100,35.0559284116331,100
"4","BRADFORD",2001,4090,8168,3159,15927,2692,7824,50.0734573947111,100,19.8342437370503,100,34.4069529652352,100
"5","BURY",2001,1022,2635,2811,9267,969,2530,38.7855787476281,100,30.3334412431208,100,38.300395256917,100
"6","CALDERDALE",2001,2326.5,3801.21825407964,1976.6,7089.52300451663,719,4217.3125585312,61.2040626055369,100,27.8805781255063,100,17.048771937606,100
"7","COVENTRY",2001,3512.83286203579,7709.7675888218,3926.14929875472,11749.9817441371,1250.36767170117,4164.19860974582,45.5634079959681,100,33.414088500297,100,30.0266098925933,100
"8","DONCASTER",2001,1400,4163,2176,6920,511,2625,33.6295940427576,100,31.4450867052023,100,19.4666666666667,100
"9","DUDLEY",2001,895,3455,7029,10732,1565,3241,25.904486251809,100,65.4957137532613,100,48.2875655661833,100
"10","GATESHEAD",2001,876,2778,7041,11434,906,3445,31.5334773218143,100,61.5794997376246,100,26.2989840348331,100
"11","KIRKLEES",2001,2689,6042,4909,10802,1699,5446,44.5051307514068,100,45.4452879096464,100,31.1972089607051,100
"12","KNOWSLEY",2001,1173.61058078645,2298.23221689821,4706.27524375868,8919.28067088807,1062.81141504767,2416.19309551499,51.0657962305656,100,52.7651883309339,100,43.9870230992919,100
"13","LEEDS",2001,5175,12753,13322,31731,4141,10604,40.5786873676782,100,41.9841795089975,100,39.0513013956997,100
"14","LIVERPOOL",2001,4657.07923836166,12591.6410664641,12757.4742970873,26462.7853392097,6446.25790628146,12354.330638572,36.9854827800411,100,48.2091137934172,100,52.1781235654752,100
"15","MANCHESTER",2001,5152,8445,11776,27671,7240,9394,61.0065127294257,100,42.5571898377363,100,77.0704705130935,100
"16","NEWCASTLE UPON TYNE",2001,3367.52396729613,5974.89123297796,3605.68931270104,7678.87090367193,1085.43077426693,3903.70092607709,56.3612597449363,100,46.955982955474,100,27.8051724458744,100
"17","NORTH TYNESIDE",2001,885.516323977243,3132.3487878001,3640.6819244116,9217.01312528033,2783.63225608461,4254.96503859682,28.2700421940928,100,39.499584897259,100,65.4208020708574,100
"18","OLDHAM",2001,2282,4917,2608,13430,1567,5010,46.4104128533659,100,19.4192107222636,100,31.2774451097804,100
"19","ROCHDALE",2001,1065,2309,5765,10075,1514,4079,46.1238631442183,100,57.2208436724566,100,37.1169404265751,100
"20","ROTHERHAM",2001,2881.05894732953,4171.63757086074,3360.04393361012,8933.33775499271,1325.63435435439,3750.86238172507,69.0630213768804,100,37.6124134759401,100,35.3421218761087,100
"21","SALFORD",2001,2605.38841865986,6813.58798225182,5085.58016162398,11518.345193804,1620.49602951543,4189.68902806348,38.2381268935902,100,44.152003400277,100,38.678193504601,100
