la,total1864noservices,total1864,total65noservices,total65,year,la_clean,lacode_string_orig,total_requests,total_noservices,noservices_percent,noservices_1864_perc,noservices_65_perc,imd19_extent,idaopi19_avgscore,health19_avgscore,imd15_avgscore,imd15_extent,idaopi15_avgscore,health15_avgscore
Hartlepool,690,1315,585,2230,2014,Hartlepool,E06000001,3545,1275,35.966148,52.471481,26.233183,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,250,1380,315,1975,2015,Hartlepool,E06000001,3355,565,16.840536,18.115942,15.949368,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool UA,300,1420,460,1985,2016,Hartlepool,E06000001,3405,760,22.320118,21.12676,23.173803,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,195,1110,525,2110,2017,Hartlepool,E06000001,3220,720,22.360249,17.567568,24.881517,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,400,1670,260,1815,2018,Hartlepool,E06000001,3485,660,18.938307,23.952095,14.325068,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,145,1225,220,2110,2019,Hartlepool,E06000001,3335,365,10.944528,11.836735,10.42654,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,100,1185,130,1835,2020,Hartlepool,E06000001,3020,230,7.6158938,8.4388189,7.0844688,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,55,1355,115,2590,2021,Hartlepool,E06000001,3945,170,4.3092523,4.0590405,4.4401546,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,45,1365,135,2700,2022,Hartlepool,E06000001,4065,180,4.4280443,3.2967033,5,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Hartlepool,100,1440,75,2625,2023,Hartlepool,E06000001,4065,175,4.3050432,6.9444447,2.8571429,.4973,.228,.86900002,33.178001,.4589,.244,.92900002
Middlesbrough,825,1485,1410,2905,2014,Middlesbrough,E06000002,4390,2235,50.911163,55.555557,48.537006,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough,625,1325,1290,2840,2015,Middlesbrough,E06000002,4165,1915,45.97839,47.169811,45.422535,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough UA,575,1835,550,3385,2016,Middlesbrough,E06000002,5220,1125,21.551723,31.33515,16.248154,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough,560,1950,900,3750,2017,Middlesbrough,E06000002,5700,1460,25.614035,28.717949,24,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough,790,1725,1060,3100,2018,Middlesbrough,E06000002,4825,1850,38.341969,45.7971,34.19355,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough,915,1945,950,3060,2019,Middlesbrough,E06000002,5005,1865,37.262737,47.043701,31.045752,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
Middlesbrough,935,1760,810,2575,2020,Middlesbrough,E06000002,4335,1745,40.25375,53.125,31.45631,.57099998,.233,1.194,40.216,.56040001,.25299999,1.1950001
