Contents,,,,,,,,,,,,,,,,,,
"Monthly figures on deaths registered by area of usual residence, 2020",,,,,,,,,,,,,England and Wales,,,,,
,,,,,,,,,,,,,,,,,,
Area of usual residence,,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,,,,,
,,,,,,,,,,,,,,,,,,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE 1","56,704","43,650","49,723","88,141","52,363","42,614","40,778","37,184","42,494","46,282","51,317","56,672",,,,,
,,,,,,,,,,,,,,,,,,
K04000001,ENGLAND AND WALES,"56,595","43,552","49,643","88,038","52,305","42,573","40,729","37,130","42,428","46,242","51,263","56,601",,,,,
,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,"53,043","40,803","46,510","83,494","49,405","39,881","38,182","34,752","39,818","43,250","47,902","52,660",,,,,
,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,"2,892","2,250","2,497","4,352","3,052","2,249","2,216","1,948","2,257","2,551","2,876","3,088",,,,,
,,,,,,,,,,,,,,,,,,
E06000047,County Durham ,557,445,528,956,687,482,511,374,473,495,551,641,,,,,
E06000005,Darlington,137,90,116,170,117,105,80,74,92,113,135,120,,,,,
E06000001,Hartlepool ,108,76,89,148,116,76,82,73,90,81,108,126,,,,,
E06000002,Middlesbrough,178,98,135,304,170,118,113,100,97,107,121,145,,,,,
E06000057,Northumberland,345,300,304,526,354,255,265,232,292,322,363,411,,,,,
E06000003,Redcar and Cleveland,150,148,126,203,157,156,132,141,123,144,191,164,,,,,
E06000004,Stockton-on-Tees,202,124,175,231,186,144,150,148,157,189,241,246,,,,,
,,,,,,,,,,,,,,,,,,
E11000007,Tyne and Wear (Met County),"1,215",969,"1,024","1,814","1,265",913,883,806,933,"1,100","1,166","1,235",,,,,
E08000037,Gateshead,254,185,198,371,219,169,165,161,179,203,219,189,,,,,
E08000021,Newcastle upon Tyne,278,215,225,415,293,192,186,170,184,216,234,265,,,,,
E08000022,North Tyneside,226,165,173,261,251,186,172,150,165,183,218,243,,,,,
E08000023,South Tyneside,166,138,153,233,224,133,131,118,160,178,145,212,,,,,
E08000024,Sunderland,291,266,275,534,278,233,229,207,245,320,350,326,,,,,
,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST ,"7,513","5,914","6,739","12,354","7,151","5,896","5,485","4,949","5,609","6,953","7,875","7,552",,,,,
,,,,,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen ,141,93,120,186,140,95,90,98,111,130,180,141,,,,,
E06000009,Blackpool,194,155,202,257,160,174,147,117,122,156,207,198,,,,,
E06000049,Cheshire East,434,330,359,699,446,370,296,248,262,310,343,381,,,,,
E06000050,Cheshire West and Chester,367,282,300,573,354,293,262,205,246,281,350,370,,,,,
E06000006,Halton ,141,101,115,190,130,122,85,69,90,106,127,104,,,,,
E06000007,Warrington,190,159,189,340,204,139,138,126,137,199,211,194,,,,,
,,,,,,,,,,,,,,,,,,
E10000006,Cumbria ,554,482,564,940,556,510,472,419,477,513,549,582,,,,,
E07000026,Allerdale,105,110,116,167,99,107,101,84,109,94,98,120,,,,,
E07000027,Barrow-in-Furness,67,55,69,141,75,68,65,70,68,82,88,67,,,,,
E07000028,Carlisle,127,92,122,176,145,110,102,88,99,115,114,105,,,,,
E07000029,Copeland,80,64,75,109,75,65,61,54,64,66,84,80,,,,,
E07000030,Eden,49,46,52,70,43,43,43,40,44,50,50,76,,,,,
E07000031,South Lakeland,126,115,130,277,119,117,100,83,93,106,115,134,,,,,
,,,,,,,,,,,,,,,,,,
E11000001,Greater Manchester (Met County),"2,577","1,992","2,366","4,427","2,498","1,935","1,902","1,733","1,942","2,434","2,921","2,685",,,,,
E08000001,Bolton,297,208,264,463,258,198,193,203,202,275,312,259,,,,,
E08000002,Bury,178,134,148,335,185,152,154,134,144,181,236,204,,,,,
E08000003,Manchester,392,297,334,640,390,260,314,251,275,350,360,395,,,,,
E08000004,Oldham ,220,160,214,384,191,163,136,145,143,222,288,267,,,,,
E08000005,Rochdale,202,178,196,363,185,176,157,138,142,218,312,238,,,,,
E08000006,Salford,218,196,234,438,210,158,154,143,189,207,239,261,,,,,
E08000007,Stockport,296,216,256,500,297,243,193,198,227,257,273,268,,,,,
E08000008,Tameside,224,164,240,429,239,189,195,157,208,219,260,223,,,,,
E08000009,Trafford,223,162,196,349,220,163,158,140,151,178,208,198,,,,,
E08000010,Wigan,327,277,284,526,323,233,248,224,261,327,433,372,,,,,
,,,,,,,,,,,,,,,,,,
E10000017,Lancashire ,"1,380","1,082","1,174","1,806","1,265","1,089",970,886,987,"1,177","1,395","1,441",,,,,
E07000117,Burnley,82,91,97,141,84,77,75,68,65,107,126,128,,,,,
E07000118,Chorley,151,111,101,186,112,116,97,84,85,94,117,129,,,,,
E07000119,Fylde,127,75,85,158,109,103,77,67,92,93,109,117,,,,,
E07000120,Hyndburn,88,77,70,119,80,54,76,44,73,75,85,95,,,,,
E07000121,Lancaster,139,108,147,194,115,101,118,109,119,132,144,163,,,,,
E07000122,Pendle,93,92,93,116,87,73,60,63,81,81,110,93,,,,,
E07000123,Preston,145,109,123,186,154,108,100,94,102,108,144,145,,,,,
E07000124,Ribble Valley,60,58,52,84,50,73,53,46,59,69,74,69,,,,,
E07000125,Rossendale,79,55,68,97,79,53,59,49,44,58,71,66,,,,,
E07000126,South Ribble,112,72,88,137,106,101,84,67,76,100,97,121,,,,,
E07000127,West Lancashire,143,105,125,203,131,101,67,89,83,121,142,125,,,,,
E07000128,Wyre,161,129,125,185,158,129,104,106,108,139,176,190,,,,,
,,,,,,,,,,,,,,,,,,
E11000002,Merseyside (Met County),"1,535","1,238","1,350","2,936","1,398","1,169","1,123","1,048","1,235","1,647","1,592","1,456",,,,,
E08000011,Knowsley ,152,124,147,258,148,133,133,104,143,182,148,138,,,,,
E08000012,Liverpool,438,348,370,990,429,348,326,316,361,556,509,454,,,,,
E08000014,Sefton,370,298,320,621,297,267,250,233,295,364,369,320,,,,,
E08000013,St. Helens,188,143,167,354,187,138,140,144,140,205,193,188,,,,,
E08000015,Wirral,387,325,346,713,337,283,274,251,296,340,373,356,,,,,
,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,"5,615","4,308","4,677","7,987","5,535","4,291","3,855","3,520","4,227","4,756","5,855","5,825",,,,,
,,,,,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,457,326,359,535,400,344,294,274,292,326,395,455,,,,,
E06000010,"Kingston upon Hull, City of ",289,201,208,300,292,237,187,166,187,242,273,284,,,,,
E06000012,North East Lincolnshire,185,146,138,168,126,117,127,121,147,163,281,221,,,,,
E06000013,North Lincolnshire ,187,154,158,232,173,128,121,113,146,152,176,197,,,,,
E06000014,York ,174,162,173,251,244,141,138,121,138,163,146,181,,,,,
,,,,,,,,,,,,,,,,,,
E10000023,North Yorkshire ,723,528,612,990,654,518,517,426,520,518,567,678,,,,,
E07000163,Craven,57,58,50,121,79,48,65,49,40,58,52,75,,,,,
E07000164,Hambleton,117,78,86,154,82,77,69,66,76,84,81,88,,,,,
E07000165,Harrogate,186,122,141,301,187,160,122,91,136,126,140,161,,,,,
E07000166,Richmondshire,66,48,50,67,57,37,35,41,40,36,45,49,,,,,
E07000167,Ryedale,60,44,63,75,48,40,50,39,57,43,54,60,,,,,
E07000168,Scarborough,157,120,140,176,126,104,115,87,109,105,141,156,,,,,
E07000169,Selby,80,58,82,96,75,52,61,53,62,66,54,89,,,,,
,,,,,,,,,,,,,,,,,,
E11000003,South Yorkshire (Met County),"1,493","1,171","1,221","2,208","1,484","1,162","1,000",889,"1,115","1,234","1,683","1,493",,,,,
E08000016,Barnsley,256,211,223,412,295,218,192,176,204,241,353,324,,,,,
E08000017,Doncaster,373,271,269,442,336,262,246,218,274,337,464,336,,,,,
E08000018,Rotherham ,295,270,277,473,296,266,210,176,244,247,317,355,,,,,
E08000019,Sheffield,569,419,452,881,557,416,352,319,393,409,549,478,,,,,
,,,,,,,,,,,,,,,,,,
E11000006,West Yorkshire (Met County),"2,107","1,620","1,808","3,303","2,162","1,644","1,471","1,410","1,682","1,958","2,334","2,316",,,,,
E08000032,Bradford,478,385,381,734,533,367,331,307,379,469,556,536,,,,,
E08000033,Calderdale,206,151,182,293,181,155,147,149,166,166,215,189,,,,,
E08000034,Kirklees ,377,298,321,615,429,269,248,289,364,406,470,486,,,,,
E08000035,Leeds,709,492,620,"1,080",679,549,469,418,507,602,701,656,,,,,
E08000036,Wakefield,337,294,304,581,340,304,276,247,266,315,392,449,,,,,
,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,"4,861","3,758","4,146","6,769","4,527","3,866","3,600","3,165","3,597","3,927","4,593","5,247",,,,,
,,,,,,,,,,,,,,,,,,
E06000015,Derby,289,205,206,439,233,227,163,172,163,171,233,249,,,,,
E06000016,Leicester,225,204,230,476,290,231,233,177,194,210,286,281,,,,,
E06000061   ,North Northamptonshire,325,272,274,509,325,251,219,231,278,291,293,334,,,,,
E06000018,Nottingham,240,181,233,362,235,203,187,144,180,222,276,266,,,,,
E06000017,Rutland ,38,39,36,50,40,28,30,22,30,27,48,35,,,,,
E06000062   ,West Northamptonshire ,401,295,269,544,383,305,247,208,258,272,284,341,,,,,
,,,,,,,,,,,,,,,,,,
E10000007,Derbyshire ,912,667,807,"1,224",809,717,668,578,624,686,848,870,,,,,
E07000032,Amber Valley,165,101,131,189,111,127,96,77,93,131,139,143,,,,,
E07000033,Bolsover,101,61,88,95,85,61,58,70,67,72,104,103,,,,,
E07000034,Chesterfield,130,103,121,153,110,96,106,83,93,85,99,102,,,,,
E07000035,Derbyshire Dales,81,55,85,116,78,71,63,60,54,61,70,75,,,,,
E07000036,Erewash,132,94,122,163,123,117,92,73,101,87,138,130,,,,,
E07000037,High Peak,94,67,80,173,78,75,71,66,70,90,113,85,,,,,
E07000038,North East Derbyshire,108,104,99,191,121,102,110,78,76,90,110,128,,,,,
E07000039,South Derbyshire,101,82,81,144,103,68,72,71,70,70,75,104,,,,,
,,,,,,,,,,,,,,,,,,
